Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5
64	't_info', 'Same' 	1 	4 5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_145,1.000,3.000,150.000,150.000)	Pic(rect_145,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	
65	't_info', 'T1 Change' 	1 	4 5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_105,1.000,3.000,150.000,150.000)	Pic(rect_85,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
66	't_info', 'Same' 	1 	4 5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_105,1.000,3.000,150.000,150.000)	Pic(rect_105,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
67	't_info', 'T1 Change' 	1 	4 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_65,1.000,3.000,150.000,150.000)	Pic(rect_30,1.000,3.000,150.000,150.000)	Pic(rect_145,1.000,-3.000,150.000,150.000)	Pic(rect_145,1.000,-3.000,150.000,150.000)	
68	't_info', 'Same' 	1 	4 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_65,1.000,3.000,150.000,150.000)	Pic(rect_65,1.000,3.000,150.000,150.000)	Pic(rect_145,1.000,-3.000,150.000,150.000)	Pic(rect_145,1.000,-3.000,150.000,150.000)	
69	't_info', 'T1 Change' 	1 	3 4 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_60,1.000,3.000,150.000,150.000)	Pic(rect_100,1.000,3.000,150.000,150.000)	Pic(rect_30,1.000,-3.000,150.000,150.000)	Pic(rect_30,1.000,-3.000,150.000,150.000)	
70	't_info', 'Same' 	1 	3 4 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_60,1.000,3.000,150.000,150.000)	Pic(rect_60,1.000,3.000,150.000,150.000)	Pic(rect_30,1.000,-3.000,150.000,150.000)	Pic(rect_30,1.000,-3.000,150.000,150.000)	
71	't_info', 'T1 Change' 	1 	2 3 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_110,1.000,3.000,150.000,150.000)	Pic(rect_50,1.000,3.000,150.000,150.000)	Pic(rect_120,1.000,-3.000,150.000,150.000)	Pic(rect_120,1.000,-3.000,150.000,150.000)	
72	't_info', 'Same' 	1 	2 3 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_110,1.000,3.000,150.000,150.000)	Pic(rect_110,1.000,3.000,150.000,150.000)	Pic(rect_120,1.000,-3.000,150.000,150.000)	Pic(rect_120,1.000,-3.000,150.000,150.000)	
73	't_info', 'T1 Change' 	1 	5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_125,1.000,3.000,150.000,150.000)	Pic(rect_135,1.000,3.000,150.000,150.000)	Pic(rect_85,1.000,-3.000,150.000,150.000)	Pic(rect_85,1.000,-3.000,150.000,150.000)	
